fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,quality,total_acidity,sugar_alcohol_ratio,mineral_index,mean_acidity,total_sulfur,alcohol_quality_interaction,acidity_pH_balance
11.6,0.58,0.66,2.2,0.074,10.0,47.0,1.0008,3.25,0.57,9.0,3,12.84,0.24444444444444446,0.6439999999999999,4.28,57.0,27.0,3.569230769230769
10.4,0.61,0.49,2.1,0.2,5.0,16.0,0.9994,3.16,0.63,8.4,3,11.5,0.25,0.8300000000000001,3.8333333333333335,21.0,25.200000000000003,3.291139240506329
7.4,1.185,0.0,4.25,0.097,5.0,14.0,0.9966,3.63,0.54,10.7,3,8.585,0.39719626168224303,0.637,2.861666666666667,19.0,32.099999999999994,2.038567493112948
10.4,0.44,0.42,1.5,0.145,34.0,48.0,0.99832,3.38,0.86,9.9,3,11.26,0.15151515151515152,1.005,3.7533333333333334,82.0,29.700000000000003,3.076923076923077
8.3,1.02,0.02,3.4,0.084,6.0,11.0,0.99892,3.48,0.49,11.0,3,9.34,0.3090909090909091,0.574,3.1133333333333333,17.0,33.0,2.385057471264368
7.6,1.58,0.0,2.1,0.137,5.0,9.0,0.99476,3.5,0.4,10.9,3,9.18,0.1926605504587156,0.537,3.06,14.0,32.7,2.1714285714285713
6.8,0.815,0.0,1.2,0.267,16.0,29.0,0.99471,3.32,0.51,9.8,3,7.615,0.12244897959183672,0.777,2.5383333333333336,45.0,29.400000000000002,2.0481927710843375
7.3,0.98,0.05,2.1,0.061,20.0,49.0,0.99705,3.31,0.55,9.7,3,8.33,0.21649484536082478,0.611,2.776666666666667,69.0,29.099999999999998,2.205438066465257
7.1,0.875,0.05,5.7,0.082,3.0,14.0,0.99808,3.4,0.52,10.2,3,8.025,0.5588235294117647,0.602,2.6750000000000003,17.0,30.599999999999998,2.088235294117647
6.7,0.76,0.02,1.8,0.078,6.0,12.0,0.996,3.55,0.63,9.95,3,7.4799999999999995,0.18090452261306533,0.708,2.493333333333333,18.0,29.849999999999998,1.887323943661972
8.5,0.26,0.21,16.2,0.074,41.0,197.0,0.998,3.02,0.5,9.8,3,8.97,1.6530612244897958,0.574,2.99,238.0,29.400000000000002,2.814569536423841
5.8,0.24,0.44,3.5,0.029,5.0,109.0,0.9913,3.53,0.43,11.7,3,6.48,0.29914529914529914,0.459,2.16,114.0,35.099999999999994,1.643059490084986
9.1,0.59,0.38,1.6,0.066,34.0,182.0,0.9968,3.23,0.38,8.5,3,10.07,0.18823529411764706,0.446,3.356666666666667,216.0,25.5,2.8173374613003097
7.1,0.32,0.32,11.0,0.038,16.0,66.0,0.9937,3.24,0.4,11.5,3,7.74,0.9565217391304348,0.438,2.58,82.0,34.5,2.191358024691358
6.9,0.39,0.4,4.6,0.022,5.0,19.0,0.9915,3.31,0.37,12.6,3,7.69,0.36507936507936506,0.392,2.5633333333333335,24.0,37.8,2.084592145015106
10.3,0.17,0.47,1.4,0.037,5.0,33.0,0.9939,2.89,0.28,9.6,3,10.940000000000001,0.14583333333333334,0.317,3.646666666666667,38.0,28.799999999999997,3.56401384083045
